,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.06477425562031636,
1,1547700355_A01172,0.06487487094088269,
2,1547782407_A01172,0.2658714154870941,
3,1547880148_A01172,0.08357812739383838,
4,1547954828_A01172,0.1197679067443798,
5,1548038666_A01172,,0.09815874354704372
6,1552402053_A01172,0.09081132472939221,
7,1552590157_A01172,0.26959195337218933,
8,1552620154_A01609,,0.12287991840133201
9,1553089387_A01609,,0.05038940049958372
10,1553102751_A01609,,0.06635486011656944
11,1553885926_A01172,,0.05033819983347215
12,1554082410_A01172,,0.12123289758534554
13,1554403777_A01172,0.08326364279766861,
14,1554748372_A01609,,0.178103685262282
15,1554840090_A01172,0.048825815986677804,
16,1554906953_A01172,0.3308467268942545,
17,1555002731_A01172,0.17603103913405463,
18,1555696275_A01609,,0.041402754371357244
19,1555736782_A01609,,0.09514490091590302
20,1555987268_A01609,,0.04861751124063278
21,1556028453_A01609,,0.14578720732722739
22,1556039041_A01609,,0.18471837302248134
23,1556115527_A01172,0.16506164862614434,
24,1556125697_A01609,,0.13188497085761883
25,1556219881_A01609,,0.06861196752706072
26,1556301731_A01609,,0.1070012472939216
27,1556909851_A01172,0.04517711490424648,
28,1557323445_A01609,,0.08168430974188143
29,1557417534_A01172,,0.027398671940049957
30,1557757425_A01609,,0.0810779292256452
31,1557760240_A01609,,0.057020196502914254
32,1557763139_A01609,,0.064486557868443
33,1557928726_A01609,,0.0838049258950871
34,1557952047_A01172,0.07446178517901744,
35,1557957375_A01609,,0.11245093505412142
36,1559137815_A01609,,2.187420238967527
37,1559309040_A01609,,0.28966846711074046
38,1559311950_A01609,,0.08507825645295569
39,1560885907_A01609,0.10992539050790993,
40,1561053811_A01609,0.09610907327227304,
41,1561428256_A01609,,0.107435457119067
42,1561948526_A01609,0.13886931473771844,
43,1562035686_A01609,0.07435220149875124,
44,1562704125_A01609,,1.155732441298917
