,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,34.323154679255765,
1,1547700355_A01172,35.7784420994168,
2,1547782407_A01172,32.805118022771445,
3,1547880148_A01172,33.718147736739795,
4,1547954828_A01172,35.65142738128298,
5,1548038666_A01172,,29.996003887808964
6,1552402053_A01172,34.307722854762574,
7,1552590157_A01172,37.021294860752256,
8,1552620154_A01609,,34.03119966675931
9,1553089387_A01609,,32.99242432657587
10,1553102751_A01609,,32.47014995834487
11,1553885926_A01172,,33.9149097472924
12,1554082410_A01172,,35.0184976395445
13,1554403777_A01172,34.616409330741384,
14,1554748372_A01609,,33.61329352957506
15,1554840090_A01172,35.41744237711754,
16,1554906953_A01172,33.84862815884471,
17,1555002731_A01172,35.86345182413468,
18,1555696275_A01609,,33.030899750069416
19,1555736782_A01609,,34.724162732574314
20,1555987268_A01609,,29.990638711469053
21,1556028453_A01609,,34.77616495417953
22,1556039041_A01609,,35.075326298250516
23,1556115527_A01172,35.257520133296374,
24,1556125697_A01609,,33.7338961399611
25,1556219881_A01609,,35.427556234379274
26,1556301731_A01609,,33.86082477089695
27,1556909851_A01172,32.24477842665761,
28,1557323445_A01609,,34.61398778117187
29,1557417534_A01172,,31.528678144959667
30,1557757425_A01609,,33.81176062204946
31,1557760240_A01609,,33.556056650930266
32,1557763139_A01609,,30.3373479589003
33,1557928726_A01609,,33.51397389613996
34,1557952047_A01172,33.99811263318113,
35,1557957375_A01609,,34.8254901416273
36,1559137815_A01609,,34.70576784226601
37,1559309040_A01609,,31.73192168841988
38,1559311950_A01609,,34.136664815329056
39,1560885907_A01609,32.30737850597049,
40,1561053811_A01609,35.38646209386283,
41,1561428256_A01609,,33.004840322132644
42,1561948526_A01609,32.06590669258535,
43,1562035686_A01609,32.456431546792544,
44,1562704125_A01609,,34.115959455706744
