,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.0006009734909920439 -0.014326245662083794,
1,1547700355_A01172,0.0006605565637421252 -0.013289516748444847,
2,1547782407_A01172,-0.007557891758059288 0.17606713246924574,
3,1547880148_A01172,0.012210356814476757 -0.33147279157385434,
4,1547954828_A01172,0.0014570829796926878 -0.040417857428803015,
5,1548038666_A01172,,9.656609385315363e-05 -0.002755956918428056
6,1552402053_A01172,0.00034707876551958507 -0.008301561395771354,
7,1552590157_A01172,,
8,1552620154_A01609,,0.003166877986822522 -0.09865624823365779
9,1553089387_A01609,,-0.003317743151098593 0.11733317427073872
10,1553102751_A01609,,-0.0001279750719242194 -0.003994825545962818
11,1553885926_A01172,,-0.0016858584896592434 0.02846924294430029
12,1554082410_A01172,,-0.0017488037476122438 0.047996637389983485
13,1554403777_A01172,0.0004279049701229449 -0.030040673199821413,
14,1554748372_A01609,,0.005438850339716889 -0.12505572950331217
15,1554840090_A01172,0.004244854914354584 -0.2038959689378253,
16,1554906953_A01172,0.0032486507038974135 -0.08256664895977431,
17,1555002731_A01172,,
18,1555696275_A01609,,0.001546165256546018 -0.04722129455124998
19,1555736782_A01609,,0.00013070363331549323 -0.0026919468166760655
20,1555987268_A01609,,0.0019278926273412864 -0.04822705738342132
21,1556028453_A01609,,-0.00873923581082158 0.2175257230018058
22,1556039041_A01609,,0.0041412983263185545 -0.11568982183963997
23,1556115527_A01172,-0.0005045402632750301 0.013760353670530835,
24,1556125697_A01609,,-4.008835579912225e-06 -0.0004594595090850405
25,1556219881_A01609,,0.05320117068887244 -1.3403029758036866
26,1556301731_A01609,,0.002089520676276025 -0.052940221562096566
27,1556909851_A01172,,
28,1557323445_A01609,,-0.8921291414148808 18.252584474182758
29,1557417534_A01172,,0.038822104442771066 -0.8473273590547231
30,1557757425_A01609,,-0.0004562515126759522 0.015937322868022512
31,1557760240_A01609,,0.00036443505422668594 -0.02680485906025438
32,1557763139_A01609,,-0.2351130850604718 6.614273969678997
33,1557928726_A01609,,-0.00024604948241694523 0.00790201953821334
34,1557952047_A01172,,
35,1557957375_A01609,,0.0021306331149115723 -0.07299950882727803
36,1559137815_A01609,,-0.00015788875225000162 0.004239391177050431
37,1559309040_A01609,,-0.0011539434487490062 0.028196647891007235
38,1559311950_A01609,,0.0055076513575020155 -0.1497118297824638
39,1560885907_A01609,-0.006738858028565041 0.2035545061110482,
40,1561053811_A01609,0.015505624428106957 -0.34867700752134995,
41,1561428256_A01609,,0.0014596452315414022 -0.049443582320347984
42,1561948526_A01609,-0.00021122985978700776 0.009424229793113706,
43,1562035686_A01609,-0.0001709735855808043 0.008669876488131731,
44,1562704125_A01609,,0.00014555766888237575 -0.0036545197294032164
