,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.18126543969006959 -3.602474465467613,
1,1547700355_A01172,-0.0036177790995401823 0.19343119843016116,
2,1547782407_A01172,-0.0024793705758732404 0.5618276567722846,
3,1547880148_A01172,0.0034594783699140367 -0.004906267530369203,
4,1547954828_A01172,0.0007077832073439795 0.0999585870984846,
5,1548038666_A01172,,0.0013415569738787275 0.09460883486114509
6,1552402053_A01172,-0.0008027382747708977 0.5141905421997914,
7,1552590157_A01172,,
8,1552620154_A01609,,0.006584467888563205 0.050018688181199714
9,1553089387_A01609,,0.0011002799307379355 0.058188148800162265
10,1553102751_A01609,,0.0005200199327646318 0.06385654534854715
11,1553885926_A01172,,-0.003810508379391406 0.17810969991261147
12,1554082410_A01172,,0.00429058355377995 0.03441800326819282
13,1554403777_A01172,0.011516427567668982 -0.14488263590044337,
14,1554748372_A01609,,0.2257325234141602 -2.6547156745045104
15,1554840090_A01172,1.988577871411333e-05 0.052663241999483336,
16,1554906953_A01172,0.036827062215903546 -0.46460534286318195,
17,1555002731_A01172,,
18,1555696275_A01609,,0.004295146754704968 -0.06322450838942867
19,1555736782_A01609,,0.0010466652826740589 0.14836622271011912
20,1555987268_A01609,,0.0012147602719158957 0.06293387021483232
21,1556028453_A01609,,0.005429638066390779 0.3397084567735164
22,1556039041_A01609,,0.0033844661436871226 0.028615102581002912
23,1556115527_A01172,-0.00024114727066934288 0.27867981558322197,
24,1556125697_A01609,,-0.000908717197658256 0.1752496444373308
25,1556219881_A01609,,0.003838062728755898 -0.00432579172357675
26,1556301731_A01609,,0.0004959700378953187 0.13872435975399694
27,1556909851_A01172,,
28,1557323445_A01609,,-0.01729131345008457 0.4588416694584031
29,1557417534_A01172,,-0.0008850724411726124 0.05336106333208838
30,1557757425_A01609,,0.0011817239153088443 0.09095024916561945
31,1557760240_A01609,,-0.0003166113236273777 0.060505137925539326
32,1557763139_A01609,,-0.0037826605684425905 0.16943919318108544
33,1557928726_A01609,,-0.0017590397255198337 0.11742136019479124
34,1557952047_A01172,,
35,1557957375_A01609,,0.0009452543302506084 0.12236457285318034
36,1559137815_A01609,,-0.12745828432021794 6.033686477437949
37,1559309040_A01609,,0.13363691620811746 -1.9402347519906857
38,1559311950_A01609,,0.0007215021125227985 0.11884897206188465
39,1560885907_A01609,-0.00019863129496028884 0.09668354154541052,
40,1561053811_A01609,0.000737937360348058 0.1023315010869548,
41,1561428256_A01609,,0.0002865818778227833 0.10963064635359904
42,1561948526_A01609,-0.0016596716862771494 0.2576986839351615,
43,1562035686_A01609,-0.0001840551384157473 0.11851357241036986,
44,1562704125_A01609,,-0.09350043502110578 5.182435895721159
