,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.08434829554367057 33.79361746879543,
1,1547700355_A01172,0.2212596925662864 34.50037357044836,
2,1547782407_A01172,-0.028347425447220728 32.53489011783145,
3,1547880148_A01172,-0.0841822942258489 33.26193755344209,
4,1547954828_A01172,0.17012185891139153 34.36143197261113,
5,1548038666_A01172,,0.04076715850846989 28.91068007464359
6,1552402053_A01172,0.17196621008540555 33.10358213329176,
7,1552590157_A01172,0.11194661123006913 36.563589298558,
8,1552620154_A01609,,0.049601360821671936 33.50731233350406
9,1553089387_A01609,,-0.21542472185897224 33.26664601638858
10,1553102751_A01609,,0.18130039698639705 31.155367429850063
11,1553885926_A01172,,0.24100864299412794 33.57327436589899
12,1554082410_A01172,,0.06896219863768267 34.38613761402094
13,1554403777_A01172,0.12172332220203126 33.39671624644602,
14,1554748372_A01609,,-0.03544834660877238 33.17962824221436
15,1554840090_A01172,0.11708213200607719 35.09922678349731,
16,1554906953_A01172,0.09240502561530627 34.19499107427988,
17,1555002731_A01172,0.24060777923939355 34.33810666549944,
18,1555696275_A01609,,0.13788502887056042 31.602823274235007
19,1555736782_A01609,,-0.0032452160424321945 34.45586490273648
20,1555987268_A01609,,0.009990909124643517 29.563057731321305
21,1556028453_A01609,,0.1282417502620005 33.70191894904691
22,1556039041_A01609,,0.3508441349357864 34.20972680119221
23,1556115527_A01172,0.05285360903849048 34.60798272296117,
24,1556125697_A01609,,0.015880343187143632 33.17793449883595
25,1556219881_A01609,,0.16939816912627675 34.435480994830165
26,1556301731_A01609,,0.13780732321545133 33.313525448188926
27,1556909851_A01172,0.13470129229867625 31.587468699982004,
28,1557323445_A01609,,0.06030186185077106 33.20509067527103
29,1557417534_A01172,,-0.19954888394125173 31.978729996534607
30,1557757425_A01609,,0.12504451492413224 32.645365815252575
31,1557760240_A01609,,-0.22996076185678357 34.87231163000162
32,1557763139_A01609,,0.13054222937635823 29.631887992061944
33,1557928726_A01609,,0.019376847889619228 32.88798592149775
34,1557952047_A01172,0.12577147964813026 33.50321535007693,
35,1557957375_A01609,,0.20812672651418568 33.54572051302919
36,1559137815_A01609,,0.21565054054807895 33.37030817202878
37,1559309040_A01609,,-0.003211499834447641 31.906721494926664
38,1559311950_A01609,,-0.04541282125076906 33.37228294267623
39,1560885907_A01609,-0.1495501499816395 32.44237612582787,
40,1561053811_A01609,0.1674705242467783 34.09525430543809,
41,1561428256_A01609,,0.035774597282670746 32.433727655917714
42,1561948526_A01609,0.14238400958834047 31.37044344774941,
43,1562035686_A01609,0.12588710709802622 31.453400886333558,
44,1562704125_A01609,,0.057380202944735094 33.43064626992443
