,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-4.5612074930296054e-05 0.0018350622800435423 -0.015315959239676895,
1,1547700355_A01172,1.3672229348958294e-05 -0.00015702098860898437 -0.0017276845873058673,
2,1547782407_A01172,-0.0001541444522590384 0.004218091274553594 -0.02276706152010878,
3,1547880148_A01172,-0.0001467802202096367 0.0028770592715192038 -0.007114892308452738,
4,1547954828_A01172,0.00014946343453552772 -0.006119249541164408 0.05199064863378772,
5,1548038666_A01172,,1.2409672546177878e-06 -3.451424234711846e-06 -0.0007476571376083575
6,1552402053_A01172,2.3522942636708334e-05 -0.0012242570849961324 0.010407474761174259,
7,1552590157_A01172,-0.00011230064620151902 0.0012068499487214784 0.0011832006508088226,
8,1552620154_A01609,,0.00012270838753492228 -0.005345405552050695 0.04245180527603925
9,1553089387_A01609,,-0.00023968751455756906 0.015442211378759722 -0.19938916615394348
10,1553102751_A01609,,-3.079559342684964e-05 0.0007303167014636919 -0.0013207054113569515
11,1553885926_A01172,,0.0007245688857366804 -0.027048055265770844 0.20944102850788257
12,1554082410_A01172,,-5.80227906860533e-05 0.00199179379750657 -0.01151352747012965
13,1554403777_A01172,7.379284475620467e-06 -0.0008645307397653972 0.020959911046919584,
14,1554748372_A01609,,9.999108742622337e-06 -0.00023927887438895425 0.0009374040332673782
15,1554840090_A01172,-9.6196237671645e-05 0.0041916268319049325 -0.030280774408762534,
16,1554906953_A01172,-5.949736331735433e-05 0.002222109658070865 -0.0172085912955219,
17,1555002731_A01172,-9.062630501856852e-05 0.0015970548577952132 -0.0055410427951204655,
18,1555696275_A01609,,-8.724386374851952e-05 0.004528497597061063 -0.04892552932458587
19,1555736782_A01609,,-2.209225168505318e-06 0.0002213351027980198 -0.0033319350631584336
20,1555987268_A01609,,6.600825432269109e-05 -0.00198437484790425 0.008722743049445704
21,1556028453_A01609,,-0.00023876643020060996 0.007265382621760926 -0.042934792927813256
22,1556039041_A01609,,-0.000324149077646571 0.015345426546826942 -0.15080371464863443
23,1556115527_A01172,-4.765749986477937e-05 0.0019632767213047025 -0.016771617275638667,
24,1556125697_A01609,,-2.806175308667723e-05 0.0011890935613701578 -0.01054717403409205
25,1556219881_A01609,,-0.0005909823670396714 0.015618656697601917 -0.08279854613025271
26,1556301731_A01609,,6.336500134536101e-05 -0.001910092767868704 0.009731777209474029
27,1556909851_A01172,-0.00016217767030410378 0.0033442081525864188 -0.014567479465455972,
28,1557323445_A01609,,-0.00026682896750631827 0.0025146544743554085 0.00916976862908955
29,1557417534_A01172,,-0.0017979327028279125 0.05722367315491894 -0.37795244285944507
30,1557757425_A01609,,3.807859454385582e-05 -0.002274813938891273 0.028220046983694735
31,1557760240_A01609,,-9.023664369197156e-05 0.003955576163720011 -0.03439832484637852
32,1557763139_A01609,,-0.001432874380053782 0.05141870138942346 -0.3817898573046748
33,1557928726_A01609,,-7.776760132999394e-05 0.005345730325632422 -0.07649575752586671
34,1557952047_A01172,-0.0052010041069844 0.08272908660113974 -0.2738950331027089,
35,1557957375_A01609,,-8.92906119192246e-06 0.0006551536548680243 -0.009126263879582892
36,1559137815_A01609,,-2.5241783411812257e-05 0.0012465851077866855 -0.012693474749861334
37,1559309040_A01609,,-4.683165995521966e-05 0.0014848770783072792 -0.008113605882116662
38,1559311950_A01609,,-7.770404691118072e-05 0.0015363054980246354 -0.004115534663901569
39,1560885907_A01609,1.8773237318591432e-05 -0.0008040838171418396 0.007005628158732022,
40,1561053811_A01609,0.0001582280265571717 -0.003240074676414228 0.009204206536834701,
41,1561428256_A01609,,2.6447368380026095e-05 -0.0012747487140160549 0.0128056945295706
42,1561948526_A01609,-1.402054651825854e-05 0.0010710081313211265 -0.01688593718862703,
43,1562035686_A01609,-5.3216788539183485e-06 0.00042079786723394713 -0.0069212174362343615,
44,1562704125_A01609,,7.854995126557638e-07 1.6171156831938876e-05 -0.0006004078547640671
