,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.0005683896911871697 0.03140858525911932 -0.41076738234030485 65.24016037066777,
1,1547700355_A01172,-0.000219239515785413 0.012770489308672825 -0.2240230570029424 63.9145774934835,
2,1547782407_A01172,0.00032189322085927555 -0.023254554304413616 0.4243681918181505 62.105477281437274,
3,1547880148_A01172,0.0002006073891187988 -0.0070633095968941064 0.06461579333076432 63.10771106383881,
4,1547954828_A01172,-0.00019734691179092617 0.00783749055696193 0.00426410977466862 62.681186247599015,
5,1548038666_A01172,,3.617685771103259e-05 -0.0009232996459989114 0.005666387299058541 63.31324852978633
6,1552402053_A01172,-4.6674390304872895e-05 0.004911511488466297 -0.1566324480281386 65.54522705143042,
7,1552590157_A01172,0.00026104257596863494 -0.002715852227363195 -0.04366437196108172 64.62215031172039,
8,1552620154_A01609,,8.83750969363351e-05 -0.005408152373086219 0.061262102121649675 63.618829551795685
9,1553089387_A01609,,1.1641677612516901e-05 -0.0007609093000689784 0.015753864259023306 63.1993702480428
10,1553102751_A01609,,7.754036602456015e-06 0.0008681632751414052 -0.03837863149555806 64.57890021266994
11,1553885926_A01172,,0.00020521146852624383 -0.005709130403173796 0.03771119629428121 64.17286890623636
12,1554082410_A01172,,-1.4433837658611615e-05 0.0032143353574835254 -0.13549340185531164 64.69501426312698
13,1554403777_A01172,-1.339376479527293e-05 0.0021786098226857934 -0.09414329822714043 64.28641702026474,
14,1554748372_A01609,,-8.69320971673238e-06 -0.003021326301482203 0.08466614941055853 63.90264175774482
15,1554840090_A01172,-4.092968239842181e-06 -0.0003846484311350316 0.04267746241954891 62.1409412060335,
16,1554906953_A01172,-0.0010792515055847538 0.051011748322237455 -0.6304993341705903 66.80201466198608,
17,1555002731_A01172,-0.0005103184643543761 0.014745135663140138 -0.06342372034116224 62.4990581772637,
18,1555696275_A01609,,-4.756823941265936e-05 0.0033337909684416733 -0.08188427654716274 63.86775667609897
19,1555736782_A01609,,-4.578686898904205e-05 0.0012931344466976153 0.028296540742013633 63.206006446292136
20,1555987268_A01609,,0.00025006596187800216 -0.010787277273630654 0.06811438289963825 64.06696166813741
21,1556028453_A01609,,-2.4249918494901055e-05 0.0014611882137241046 -0.017743097370068035 63.28618314746345
22,1556039041_A01609,,-1.600317313000567e-05 -0.003521749249113985 0.15199190603748042 62.88723226287373
23,1556115527_A01172,1.0703750466736339e-05 0.004007837270438818 -0.13011250766711366 62.94022854705082,
24,1556125697_A01609,,-0.0003050430087350649 0.01741661543710105 -0.259149534651372 64.79785528270756
25,1556219881_A01609,,1.9013551828514283e-05 0.0009854939616838418 -0.041592087914677695 63.2977870415146
26,1556301731_A01609,,7.009627446158307e-05 -0.003377669843456357 0.04315845072008046 63.21834235084143
27,1556909851_A01172,-0.004188322237895407 0.08956778421482915 -0.3068259312520204 63.16305324108371,
28,1557323445_A01609,,-0.00013028917536100953 0.004526032246764088 -0.030861378584599117 62.99086793254855
29,1557417534_A01172,,0.0004368253607291913 -0.016269684324615615 0.18883851886027933 63.74459033583655
30,1557757425_A01609,,-3.839636487849201e-06 0.0003573850069563312 -0.0070171332125687534 63.097342916999466
31,1557760240_A01609,,-2.63820210419051e-05 0.0015196762582046015 -0.018871916180387947 63.21598381033667
32,1557763139_A01609,,4.921506585964853e-06 -0.00038023058167127355 0.0043661672728294 63.34997717584111
33,1557928726_A01609,,-3.2984416071123594e-05 0.002729835230003502 -0.03939084387127422 63.653827472804835
34,1557952047_A01172,-0.005686981319107621 0.10770864602731428 -0.4288204492076442 62.967134382736674,
35,1557957375_A01609,,-0.00014072700424337298 0.008206842513652342 -0.10533754049233737 64.82829275197906
36,1559137815_A01609,,5.3287264052729335e-05 -0.0026275628955550016 0.03613874051159113 62.992679235071435
37,1559309040_A01609,,-5.8327878570725326e-05 0.0034115515238477526 -0.0441938153515307 64.20623113429205
38,1559311950_A01609,,-3.6924888318307457e-05 0.0004239962685082902 0.025365130205043523 64.16748306648961
39,1560885907_A01609,7.647760199557875e-06 0.0027866722510814373 -0.07358726669784414 63.410099988479814,
40,1561053811_A01609,-0.000282656251655613 0.002816692318611235 0.12517144955419154 61.614208698625404,
41,1561428256_A01609,,-5.794529596231605e-05 0.002738597885655812 -0.014422842758993226 62.9788249242871
42,1561948526_A01609,7.562555555732178e-05 -0.008484979259004303 0.26481498687458327 61.95263776893478,
43,1562035686_A01609,7.92574407485567e-05 -0.008218370043732113 0.2043410292213047 63.10957317106024,
44,1562704125_A01609,,2.5263390018406587e-05 0.0008817039914465382 -0.047065088913109614 64.43313820464375
