,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-3.1209170237486535e-05 0.0023042127201827675 -0.031894323913760854 0.21005699805167743,
1,1547700355_A01172,0.00015190304184580034 -0.005252125281396039 0.05451551742358454 -0.08276927353025293,
2,1547782407_A01172,-0.0002430997115871245 0.008608214739825079 -0.0854123096294134 0.49415108230801896,
3,1547880148_A01172,9.926232865280198e-05 -0.003225879949392824 0.031570343370562415 -0.04120011276319039,
4,1547954828_A01172,0.00011226657081475146 -0.003896094836594265 0.03756653228392184 0.02525394984486935,
5,1548038666_A01172,,1.642820241863553e-05 -0.0007414604140125594 0.01124913537062008 0.06727821784306413
6,1552402053_A01172,3.704389719650096e-05 -0.0017018870153673812 0.037337628170267465 0.009363710360753936,
7,1552590157_A01172,0.00010541501506809049 -0.004189643796881813 0.05152927077402307 -0.028380518474822924,
8,1552620154_A01609,,-2.317672870624995e-06 0.0002181656262709112 -0.0005261542644204139 0.13120533368993048
9,1553089387_A01609,,7.298434765567854e-05 -0.0025964119195714783 0.031570145061684 -0.028383046332201917
10,1553102751_A01609,,-1.9279124897863336e-05 0.0007028546234366418 -0.0073042359745595685 0.09358215903080533
11,1553885926_A01172,,6.6506715032953115e-06 -0.0003934101675064214 0.00916490017722733 0.008085650296152712
12,1554082410_A01172,,-6.384067431165023e-05 0.0023302919870175957 -0.023699255453359516 0.19804714641372426
13,1554403777_A01172,-6.737234867188275e-05 0.0019864530604253336 -0.018140130487876903 0.1303503699045635,
14,1554748372_A01609,,-0.0037780725659098072 0.1552591890614906 -1.7241742131995932 5.7801098827139175
15,1554840090_A01172,6.238924125031098e-06 -0.0003614946009317757 0.006109861790660129 0.030039720430037272,
16,1554906953_A01172,-0.0004830944047950187 0.019449255720649643 -0.23126323336186685 0.9691090010931138,
17,1555002731_A01172,-0.00034413238203931363 0.011009323330211542 -0.10163696941110816 0.4612473645333376,
18,1555696275_A01609,,0.00011654440353007463 -0.004663081011453001 0.05510309864087882 -0.1256371261987854
19,1555736782_A01609,,-4.883354014686857e-05 0.0018540687192318628 -0.01719293594263784 0.1568015177246467
20,1555987268_A01609,,-7.387231889056955e-05 0.0028977304216314887 -0.03232614778122572 0.15829943349788025
21,1556028453_A01609,,1.879867041422675e-06 0.0009216428454318018 -0.014936466899015208 0.26875659893607723
22,1556039041_A01609,,0.00024230801913874926 -0.008821955783562995 0.08590388476377517 -0.025369951953088388
23,1556115527_A01172,3.9497741983716165e-05 -0.0014629122740920748 0.021015479480481384 0.12346951515756208,
24,1556125697_A01609,,3.463057604036296e-06 -9.389736784407454e-05 0.0025684928090207123 0.13380943667064124
25,1556219881_A01609,,3.2429827213026135e-06 -0.0003147536429941502 0.006943877547310935 0.03770424426373483
26,1556301731_A01609,,7.191701197029209e-05 -0.002576529117319695 0.028644606858183475 0.03407370755783286
27,1556909851_A01172,1.655027205107084e-05 -0.00022283905444130976 -0.0023728715301814035 0.0827099559310965,
28,1557323445_A01609,,-5.3857667790694734e-05 0.002104044599888533 -0.024392711063937537 0.1808164078587389
29,1557417534_A01172,,3.060703760065288e-05 -0.001103750859269702 0.01147576336481066 0.0007650032606209117
30,1557757425_A01609,,1.5908270788417704e-05 -0.0006855895201843191 0.011723477833054118 0.04468382391567552
31,1557760240_A01609,,0.0018007641857550538 -0.07359380275814341 0.9194010836432921 -3.2093945470142917
32,1557763139_A01609,,-4.080313921950831e-05 0.0018933212284376008 -0.03120923532890169 0.26791356393818805
33,1557928726_A01609,,1.1800830505192374e-05 -0.0004264868202968513 0.0058725426360323645 0.06739140015395456
34,1557952047_A01172,0.002146090452931189 -0.060326126215819724 0.5585677121871955 -1.5185445251609782,
35,1557957375_A01609,,0.00012229104501963964 -0.004738373440402781 0.05695854047936419 -0.06566696136450154
36,1559137815_A01609,,-0.004120157521184173 0.1539293622731755 -1.6502335862059312 8.376339146291068
37,1559309040_A01609,,-0.0006113075014996714 0.025981730667335508 -0.3157784748577913 1.3862577806725407
38,1559311950_A01609,,7.939248467664837e-06 -0.0003436394617306524 0.0063578108349215175 0.07843132882485716
39,1560885907_A01609,-1.7861998957797762e-05 0.0011444143534622426 -0.019018697686584717 0.18194808411789587,
40,1561053811_A01609,-4.966566369852239e-05 0.0014497371798572294 -0.010465273172313338 0.13287749676040314,
41,1561428256_A01609,,-1.1928614575628347e-05 0.00032112298052897824 -0.0018332368446023102 0.11507147305795101
42,1561948526_A01609,-7.185058175430152e-05 0.002700079414170977 -0.021689542314836788 0.2008924095219755,
43,1562035686_A01609,-3.691786857799293e-05 0.00140964168313467 -0.01715435081463014 0.15963469428596871,
44,1562704125_A01609,,-0.005451901345218307 0.2063748929947628 -2.25736016876023 8.60797622876149
