,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.051481719702242794 1.8296567533363115 -19.020036524547084 132.0601281884009,
1,1547700355_A01172,0.010534952030925224 -0.2911421022018125 2.3045746019848 69.89380141022748,
2,1547782407_A01172,0.05322650316465005 -2.0299966245979566 24.00907329823928 5.1614919578642775,
3,1547880148_A01172,0.04827706681580952 -2.230489870371834 31.854958849799228 -57.375872713839584,
4,1547954828_A01172,0.08095015913355166 -2.8561162713371924 29.814564620630282 -1.8134719983408185,
5,1548038666_A01172,,-0.05715005474674206 2.2665155725388137 -27.77659513494863 184.297471767585
6,1552402053_A01172,-0.03524969251513131 1.1179210883613995 -10.990106637753946 130.00950376818835,
7,1552590157_A01172,0.05448142526711312 -1.7578818051698837 17.28534954648973 19.84399928582567,
8,1552620154_A01609,,-0.012634552630803876 0.5247633441232042 -6.824218330449341 95.41357732273117
9,1553089387_A01609,,0.06717582882602745 -2.6417814660618055 32.38502218532475 -41.02091607088654
10,1553102751_A01609,,0.07976699234471477 -2.9550837169884856 32.921425225268585 -27.719502631250705
11,1553885926_A01172,,-0.01249307519222798 0.43681776623468604 -5.241487371172617 105.449313960673
12,1554082410_A01172,,0.0025201637706622664 -0.27571194134396687 6.110473194497493 40.755347459297724
13,1554403777_A01172,0.04454685756012145 -1.6428212424457165 19.54219818509741 -5.639196422419609,
14,1554748372_A01609,,-0.013651955052541125 0.5206533405597623 -6.147497506696465 119.33738784528332
15,1554840090_A01172,0.0032793771650962166 0.1696092974625147 -4.2284784427879964 97.43031792394194,
16,1554906953_A01172,-0.09620098148073987 3.728067238149612 -44.80705317576151 250.23032732177384,
17,1555002731_A01172,0.05453848602514849 -1.4796009363276967 9.73488465438898 79.786353094459,
18,1555696275_A01609,,0.05556842901894666 -2.594063328483238 33.74040419647886 -24.298702211368216
19,1555736782_A01609,,0.0077680147500423765 -0.2652978264620063 2.955139399761482 74.72091793757266
20,1555987268_A01609,,0.0735832562671395 -3.1674504271175024 42.026905322824774 -80.77225606448084
21,1556028453_A01609,,-0.020805970292805603 0.8074999191633951 -9.257806355369675 101.21732400250235
22,1556039041_A01609,,-0.04156245739139092 1.2228161730534581 -11.520188940280212 122.87838336418912
23,1556115527_A01172,0.014203438679685876 -0.5370333646814424 6.520341633456678 61.95399556118349,
24,1556125697_A01609,,0.014494059569472613 -0.7201705330928212 10.77961474843069 33.79935424548271
25,1556219881_A01609,,-0.0851331215571584 2.79714720380806 -28.84504205076288 183.46687703060286
26,1556301731_A01609,,-0.02796123835932198 0.9217731048461207 -9.491470125340506 98.50457796913419
27,1556909851_A01172,0.31834797051404107 -10.088302937239362 99.5431640681283 -210.72248863099014,
28,1557323445_A01609,,-0.022217122865455546 0.8071261406185389 -8.611561038857516 115.71124555253469
29,1557417534_A01172,,-0.07398722911678743 2.6185758873128626 -27.47216079841754 155.5934745643446
30,1557757425_A01609,,0.04925922779797815 -1.346445817392133 9.07413327097935 110.7906460539796
31,1557760240_A01609,,-0.06770511616887938 2.773494133348685 -34.71812677903675 198.54150383309195
32,1557763139_A01609,,0.20270017235983745 -7.815086816016229 92.1184235166285 -237.77516701503404
33,1557928726_A01609,,-0.0026736302552328225 0.034133072555733786 0.1569879493345354 65.20366561613054
34,1557952047_A01172,-0.620090146905754 17.32280661380375 -153.91719577485335 519.5446279264361,
35,1557957375_A01609,,-0.018757599879205958 0.7180076244489881 -7.6692517169058165 105.60179727383883
36,1559137815_A01609,,0.024920686553879797 -0.9540996248391429 10.566976455816661 54.255359580177625
37,1559309040_A01609,,-0.03820462767970208 1.2863244253474457 -12.611003702094287 116.36390532959706
38,1559311950_A01609,,-0.04094667984634308 1.5027954736716762 -16.41048205259545 109.49995197788135
39,1560885907_A01609,-0.03698673729633495 1.4101467036493756 -16.170056721533484 129.67843322166652,
40,1561053811_A01609,-0.035108146146252676 1.193087640352361 -11.813711814940838 131.51691309842687,
41,1561428256_A01609,,-0.015602890356911987 0.5836400694805276 -6.392380454452097 93.94815424308304
42,1561948526_A01609,0.007193720781029903 -0.07044506548998494 -1.8428666961949007 98.11934742045148,
43,1562035686_A01609,0.005778963311518547 -0.36239305614979805 5.981635760574041 65.5745804381057,
44,1562704125_A01609,,0.09247667142284295 -3.1874177949217817 32.4506719183967 -11.777196752062604
