,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-9.437827657637739e-06 0.000763904849301092 -0.015922673336953068 0.10817394820342131 -0.08629879642411624,
1,1547700355_A01172,-1.7664538315583746e-06 0.00010619922934176379 -0.00205826607328364 0.015288565611515295 0.04502185022509138,
2,1547782407_A01172,-9.896412557283103e-06 0.0005008467201967015 -0.00722253346092979 0.033927435444486474 0.2257604306238367,
3,1547880148_A01172,-8.512020102067202e-07 4.058948924516488e-05 -0.00031305888211957775 -0.0046194250886387915 0.09366092372461983,
4,1547954828_A01172,-1.274735679652951e-06 9.363376019668842e-05 -0.0021669012472115973 0.016379097415960487 0.09343483892489038,
5,1548038666_A01172,,-1.4282006833816635e-07 1.5133507922252027e-05 -0.0005300525616890217 0.007836953899689162 0.08236569217645087
6,1552402053_A01172,5.194834821824759e-09 -1.8120858733562533e-06 -0.00016599603868188583 0.021393700123573608 0.04454300243070545,
7,1552590157_A01172,4.863650121366451e-05 -0.00219342271001471 0.033990378612771155 -0.20853216615050738 0.5742635810150727,
8,1552620154_A01609,,-7.293669274084185e-08 5.960440075718314e-06 -8.153961383638257e-05 0.0034032148293332396 0.11522641656588298
9,1553089387_A01609,,-1.3860459887603518e-07 2.0830713622425664e-05 -0.0010156054742976913 0.01802426359113501 0.010254028655547469
10,1553102751_A01609,,4.938748780667856e-08 -1.7930964089233912e-06 -2.071329383366394e-05 0.001427900359873089 0.06254863923772921
11,1553885926_A01172,,3.545025635037284e-07 -3.107006576268707e-05 0.0007326268221566262 -0.0031758558754459588 0.051882875418886185
12,1554082410_A01172,,4.627407045268535e-07 -2.8661772517131423e-05 0.0005024588404003598 -0.0008465817523198459 0.11873570618738294
13,1554403777_A01172,5.122319713579068e-07 -9.015601555181185e-05 0.005088691410926931 -0.08977716820584285 0.3996701934504298,
14,1554748372_A01609,,-2.3594009661784954e-05 -0.00012894888217637003 0.030998535684201554 -0.2663193972813145 0.5445111007101627
