,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,1.5324167530112374e-06 -0.00012304084316824344 0.0035221638857231 -0.044199832931164404 0.25638672511121485 33.65194823934214,
1,1547700355_A01172,-4.4343079474069835e-07 1.257484232355678e-05 0.000635824968034278 -0.02836272598690924 0.35586055736390265 34.38510613623059,
2,1547782407_A01172,-4.5006233806748116e-07 5.5740334563712405e-05 -0.0021123763019661396 0.03152588454170975 -0.14235782278583345 32.620112274983256,
3,1547880148_A01172,1.6028180831885734e-06 -7.923114285800733e-05 0.0005845730296869413 0.019651009934217107 -0.18970428821132485 33.33998918148035,
4,1547954828_A01172,-2.2889976737916182e-08 -3.0254781955349363e-06 0.0003476501869086351 -0.01230187285450347 0.21539805600696282 34.334735443407354,
5,1548038666_A01172,,-6.044469716199923e-07 6.088216483697979e-05 -0.0021117658160653644 0.026919406349184587 -0.016437654572942273 28.92608707708547
6,1552402053_A01172,9.631787075553431e-09 -2.710156214903066e-06 0.00026289927092254913 -0.010943152884774248 0.20470807770744467 33.086618207557834,
7,1552590157_A01172,-1.8057373908534198e-06 -4.193850254417169e-05 0.0036335774869720163 -0.05823455639716823 0.3383188356244216 36.38426114346482,
8,1552620154_A01609,,-2.306298231642452e-09 3.0050987300891e-06 -0.00022855852636261242 0.0038086072122965903 0.024834277513614427 33.542151607032025
9,1553089387_A01609,,-2.8896904899968288e-08 5.433611892801243e-06 -0.0003644794155948767 0.009890331155067288 -0.07502994276709017 32.89664936566212
10,1553102751_A01609,,6.012439759657742e-07 -5.5588079238184384e-05 0.0017919631866904096 -0.024937927666414447 0.23010749540190262 31.156682959440644
11,1553885926_A01172,,4.194907597942665e-06 -0.00034415119970367325 0.01030626392077287 -0.1350586457439896 0.6855236495624706 33.298523039839665
12,1554082410_A01172,,4.8037385988119224e-08 -1.037675991309315e-05 0.0005872515081500162 -0.013164434504174323 0.1507945160982427 34.28921188868765
13,1554403777_A01172,8.406537081990386e-09 -1.591297818968089e-06 0.00012165225781286621 -0.005651722862102922 0.1555200628512128 33.37699063439492,
14,1554748372_A01609,,2.760380889215533e-06 -0.000162740250841176 0.0030462569420884353 -0.014712820364886853 -0.007066885751101698 33.15782257951906
15,1554840090_A01172,1.2731893541199924e-07 -1.656852908096145e-05 0.0007813437540717423 -0.016092315400554485 0.12657727382375913 35.215109027681216,
16,1554906953_A01172,-4.9931209718237375e-06 0.0003142669854503125 -0.006171945136820438 0.03421328655114707 0.016738563033458942 34.2217817335975,
17,1555002731_A01172,-1.9668906144854233e-08 -6.271428129216856e-05 0.0027103303685232865 -0.044270644591517916 0.38886802511944063 34.25504675157914,
18,1555696275_A01609,,-1.1891694139521122e-07 9.322647307560792e-06 -0.0004173644400490492 0.011432579022401638 0.0036285456497627748 31.79572092987584
19,1555736782_A01609,,-8.795819561348033e-08 1.4290862938914379e-05 -0.0008065001027525065 0.01879561807016875 -0.12428628800887673 34.59189487530415
20,1555987268_A01609,,2.105548692864209e-07 -1.0151013937491665e-05 -0.00018967957556135137 0.013457723048725787 -0.10253760246762485 29.707018000425794
21,1556028453_A01609,,5.184786331523686e-07 -4.078099048573017e-05 0.0011574844851346632 -0.01622734685956174 0.1790363597209737 33.67044492736367
22,1556039041_A01609,,1.5660586861799163e-06 -0.0001664570584830381 0.006284194575179643 -0.10064436314276652 0.634058927657067 34.08539483058111
23,1556115527_A01172,-3.5993872199566176e-07 3.4118655539463825e-05 -0.0010668567604703444 0.01070047538116573 0.03328801586730157 34.60721573257809,
24,1556125697_A01609,,-5.801403876075571e-07 6.196871006253793e-05 -0.0022992171464153327 0.032480559064679976 -0.10917137244682183 33.290170084159065
25,1556219881_A01609,,4.8465702261312466e-08 -2.7190901668743252e-05 0.0014973536212400742 -0.03103222963148232 0.2936212537351508 34.33911142277529
26,1556301731_A01609,,8.786788997681233e-08 -2.0038447840053243e-05 0.001256316329928255 -0.030994844899045536 0.2867994392421155 33.164955992682934
27,1556909851_A01172,1.4973148283268137e-05 -0.0007924399930122079 0.015655324356340743 -0.1374662328635919 0.531503553580792 31.337538354418957,
28,1557323445_A01609,,-6.748684901870361e-06 0.00034218923094408895 -0.006175996159849504 0.048449695520633676 -0.03835788021476318 33.2244694605506
29,1557417534_A01172,,2.4614677824934906e-06 -0.00014138747289321686 0.0019292334294340144 0.013881003335435828 -0.3051608428723249 32.074137449681324
30,1557757425_A01609,,4.136538384185859e-08 -4.507657651220159e-06 0.00017192212045285605 -0.004315557885662126 0.13021185080328773 32.664002021159725
31,1557760240_A01609,,3.3950269234141496e-07 -2.8986179300219833e-05 0.0006422802119043728 0.0023443039516019564 -0.19158813213806777 34.7817079361041
32,1557763139_A01609,,6.61453945835826e-07 -5.6709546752840534e-05 0.001780284685486067 -0.025112291229784277 0.18429751826566218 29.6420872051626
33,1557928726_A01609,,-1.605668499119319e-07 2.424836650809947e-05 -0.0012703803896570328 0.0260453497926275 -0.1314247434041127 33.05677430753893
34,1557952047_A01172,-2.738218890904318e-05 0.000502109643226433 0.0022239556850900924 -0.08383942288810858 0.4624334657800714 33.24840517598504,
35,1557957375_A01609,,1.939361792214647e-07 -2.4032717363165384e-05 0.001102728981806391 -0.023962939921921042 0.2778677406814048 33.52023261497373
36,1559137815_A01609,,2.8583874641313484e-07 -3.45253849462666e-05 0.0015464797957826467 -0.032093226020824595 0.334110776471819 33.30665552655566
37,1559309040_A01609,,6.69582937807725e-08 -4.871500863876976e-06 0.0001092120377912375 -0.0004209108427143303 -0.019318250633580263 31.929630488087486
38,1559311950_A01609,,-5.1367724317482496e-06 0.0003375841937714168 -0.00794054613779877 0.07815185622280696 -0.21138578118273288 33.4183302216974
39,1560885907_A01609,-9.616281773669032e-07 9.926398374894225e-05 -0.003783602317129471 0.0634259664223293 -0.39045950155316983 32.59221259550566,
40,1561053811_A01609,1.6662148144687696e-06 -0.00011309379569295142 0.002853468624944391 -0.035528089695586934 0.29369305114620564 33.99490986375219,
41,1561428256_A01609,,-1.3256447243730917e-07 1.5684596604782376e-05 -0.0006469161809657402 0.010178108556833472 -0.00797217595955721 32.46916557158635
42,1561948526_A01609,-4.6725222802270645e-09 1.0239185475157254e-06 -5.127868771162445e-05 7.498651401460508e-05 0.04576516935688519 31.610720545731358,
43,1562035686_A01609,2.6321836313069252e-09 -8.354680388786386e-07 8.155179209867599e-05 -0.003652582044856223 0.11567367116210224 31.488458429982003,
44,1562704125_A01609,,-7.782505349039682e-07 6.931210347614037e-05 -0.002064915196923904 0.021420710922098622 -0.0007363362723778683 33.464596424591875
