,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.00014504075447343073 0.029533993702984183 -2.067897514975496 66.5220792451482 -1010.7348295990812 5951.154126249151,
1,1547700355_A01172,-0.0003533947237339882 0.04694270524999031 -2.4805934160560166 65.1520083816824 -850.109842761452 4469.249431330284,
2,1547782407_A01172,0.0008801301084816476 -0.11762766875219066 6.197629441228098 -161.14015420637614 2069.5318017130357 -10447.489495994341,
3,1547880148_A01172,0.007989648838325245 -0.9236592470018814 42.5703636028782 -977.7926135260635 11193.41196094243 -51032.56160347898,
4,1547954828_A01172,-1.3795639926518047e-05 0.0015955051602394702 -0.06894331344185775 1.3344321577446898 -10.33487060158706 77.5999939002787,
5,1548038666_A01172,,-5.3636765128351545e-06 0.0008013214011871859 -0.04835651616002864 1.4704738748053616 -22.385623851015684 198.77945716751233
6,1552402053_A01172,-1.6263936767377904e-07 2.6197599404641597e-05 -0.0015022729662806833 0.033899814997376085 -0.12285655119725036 60.51254162771446,
7,1552590157_A01172,,
8,1552620154_A01609,,2.2338699891558238e-06 -0.0003732381392772966 0.024403663883113328 -0.7757936021839665 11.90679252704604 -6.948364916001173
9,1553089387_A01609,,-1.3814211034100638e-07 2.7772197942013e-05 -0.002128274518869867 0.0777421882149763 -1.3472109415692577 72.12785068786961
10,1553102751_A01609,,9.292469180790279e-05 -0.012923013857243973 0.7141453444450004 -19.601554537536487 267.23463081379623 -1383.4982183809905
11,1553885926_A01172,,-0.0012510283989903756 0.15644848913183973 -7.796864502183854 193.55420620441802 -2393.131857944944 11852.090263953858
12,1554082410_A01172,,-1.337014819757257e-05 0.0019014152937295546 -0.10631909771814123 2.923227919859364 -39.540198604324985 273.6765670373799
13,1554403777_A01172,1.0014321848624921e-07 -2.7505930527031363e-05 0.0028359493764730376 -0.1353185157990729 2.959460939287085 39.457080268381276,
14,1554748372_A01609,,0.012742326644422533 -1.4250918325596391 63.66641389414411 -1420.2212489644585 15818.831551749792 -70316.01165667636
15,1554840090_A01172,-7.351668040244656e-07 0.00013454639296986892 -0.009666208874119366 0.3411431742466354 -5.932830859614087 103.79272801974015,
16,1554906953_A01172,-0.006484228372875905 0.8084254256294933 -40.11877203935761 990.367748911338 -12159.328609140695 59457.4899270781,
17,1555002731_A01172,,
18,1555696275_A01609,,-7.176508675275785e-07 9.109981573995099e-05 -0.004682895190367438 0.12250501118965738 -1.6370924257610941 72.10612453425813
19,1555736782_A01609,,2.4015374289508424e-06 -0.0004387367137470179 0.031116723776546305 -1.0730173205316855 17.986073608180067 -53.150783021785536
20,1555987268_A01609,,-5.0967990112201796e-05 0.007233526077320547 -0.40563605709110345 11.244071789368114 -154.1756039307212 900.160430010635
21,1556028453_A01609,,0.00027827764927879095 -0.03588399605784321 1.8420097117592404 -47.04935877709452 597.9740869291852 -2961.912813933016
22,1556039041_A01609,,-6.771149013081127e-05 0.00962954296204301 -0.5396467901385888 14.890880809545843 -202.39656029159508 1149.386339636318
23,1556115527_A01172,0.00016932770933790722 -0.0240867787510285 1.350544094264386 -37.29457517656323 507.2706584368904 -2658.1433648269035,
24,1556125697_A01609,,-3.387770278266477e-05 0.005010166079531968 -0.29473859250269685 8.591590716852185 -123.69977596981093 766.324361247005
25,1556219881_A01609,,-0.0002693244304082609 0.04614848739307648 -2.8325911266315833 81.57573551236044 -1126.180587994427 6095.327757330214
26,1556301731_A01609,,2.123328752989869e-05 -0.0026865101401040664 0.13236062311405364 -3.158789893911056 36.28159677341409 -95.61169933388256
27,1556909851_A01172,,
28,1557323445_A01609,,19.4377214182542 -1997.3726047321572 82090.17767999493 -1686753.928837471 17327692.898222778 -71194736.61332075
