,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.04084389963913441 -0.5603727440169926 2.6687661536323275 -5.231660441734127 3.662097439644784 64.1146319765688,
1,1547700355_A01172,-0.027848528654946126 0.2502602283179804 -0.6136318226379294 0.34155765455180054 -0.7519905764374314 64.83450852198862,
2,1547782407_A01172,0.018753163794677098 -0.20913359006948004 0.8165150170429024 -1.25997797597675 0.6133591882729812 62.64812137597726,
3,1547880148_A01172,0.08157584534284039 -1.0112452135146106 4.43115770383418 -8.360293586200953 6.913094678674758 61.120435062667774,
4,1547954828_A01172,-0.004396249784143507 0.14446624952716547 -1.1286114245296963 3.285309422253736 -3.645299337384028 64.05997013219812,
5,1548038666_A01172,,-0.007460991659318746 0.09774948671297319 -0.4526346012576972 0.8983247746534251 -0.758376280297955 63.527115928688396
6,1552402053_A01172,-0.11415142523087075 1.4149404917143646 -6.248762757643758 11.985620502220458 -9.839186303945871 67.47932349840879,
7,1552590157_A01172,0.02095711138770189 -0.2682615986910549 1.2878566352833003 -2.789842672464594 2.3984239795150413 64.11743779817388,
8,1552620154_A01609,,0.006946834757744081 -0.10146997197911142 0.5862089653847821 -1.664845194550648 2.222437376268005 62.713190938167244
9,1553089387_A01609,,-0.013624552355495288 0.18083564175608394 -0.8426476611560859 1.6065914304353617 -1.0791623123917278 63.31995520819687
10,1553102751_A01609,,-0.0921676743372858 1.1557477466776296 -5.12576082036275 9.478930419178258 -6.298667931881556 65.10389956442984
11,1553885926_A01172,,-0.06330809767254356 0.8307133049177997 -3.8328512572577513 7.11811721879017 -4.134536423963989 64.20315814837136
12,1554082410_A01172,,-0.10251999383495808 1.354410555383976 -6.152773490146903 10.692818012823867 -4.791846016264428 63.70977234366277
13,1554403777_A01172,-0.001598176594389905 -0.016341346435660646 0.29892434743956675 -1.1558984995336221 1.4002311578009023 63.433225598036714,
14,1554748372_A01609,,0.004386340514590072 -0.050984749576046866 0.21388219467094438 -0.2861193313088429 -0.23939771785235534 64.41441819853233
15,1554840090_A01172,-0.014262374673785336 0.233441302384291 -1.3672269020211576 3.340582764925796 -2.8795680881955357 62.71261098104177,
16,1554906953_A01172,-0.018833950589964676 0.13651514510037524 0.25591375502892294 -3.74186736298621 7.446513434342503 62.80283456111529,
17,1555002731_A01172,-0.02777770922164644 0.28888886843196987 -0.8785793193337197 0.4553699220857256 1.0034942354849485 61.959242120668584,
18,1555696275_A01609,,0.0008616987596984589 -0.03073206911959952 0.24095061411291369 -0.6831963059346176 0.8575644545982037 63.14110887557639
19,1555736782_A01609,,-0.018856520681283642 0.19868633360126406 -0.7384717796713635 1.2331142562138242 -0.8302302982954872 63.177546942682454
20,1555987268_A01609,,-0.006789600809023666 0.1105003563712206 -0.611286519436049 1.3272372825790186 -0.9027945168720428 64.07028244241297
21,1556028453_A01609,,0.03767734002553144 -0.4302237004792016 1.6686180638126586 -2.553263606659405 1.4553007405631666 62.95374791936285
22,1556039041_A01609,,-0.014615137862769885 0.17971869523123837 -0.748030841859193 1.1794148125129034 -0.5272608561148312 63.326095402489784
23,1556115527_A01172,0.01331839116533767 -0.16786382326191734 0.7703126017343862 -1.5893231855948862 1.4777487199883748 62.04056259656686,
24,1556125697_A01609,,0.004811385410859432 -0.022676291636098512 -0.1461584122563216 0.9053779006070348 -1.2783446862501178 64.61047785424444
25,1556219881_A01609,,0.008836933870651691 -0.12852391454096254 0.6543274013157678 -1.452489494807001 1.4836913512220424 62.653315286469116
26,1556301731_A01609,,0.008998850151907262 -0.17459166928712164 1.128135504425533 -2.985616699542121 3.097324143961213 62.35297274817598
27,1556909851_A01172,0.025336513680022904 -0.3001634791049068 1.2729557129521052 -2.112830016300768 0.5575207367795318 63.68586171329578,
28,1557323445_A01609,,0.006694109838590375 -0.08363272217660749 0.3616556257479787 -0.6125479189756183 0.30491144371961776 62.96251429143626
