,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.00010777926929304809 0.005614650257525921 -0.10648762700841355 0.8690437498747633 -2.585003173467765 64.46243582100959,
1,1547700355_A01172,-7.804528145649036e-05 0.0052737670024135845 -0.137830922381981 1.7285842572309804 -10.326309110037032 86.1830124852061,
2,1547782407_A01172,5.2099340943324554e-06 -0.00025146691684433114 0.0045011411193166114 -0.0374956768356149 0.13833626501028576 64.15000736293868,
3,1547880148_A01172,1.794548629573438e-05 -0.0013818409575352543 0.03978787784168133 -0.54058587657085 3.4758787881325395 54.77784777840567,
4,1547954828_A01172,-2.4493067062778583e-05 0.00149443311668897 -0.03366522029436177 0.34474009075498613 -1.4289323385195212 64.27343914026847,
5,1548038666_A01172,,1.559550567516575e-05 -0.0009115777592349743 0.020136728238961663 -0.21266331140765354 1.1137129262369279 60.92733170646572
6,1552402053_A01172,0.0001195374218871471 -0.007850393161467803 0.1926443111720424 -2.188576866059141 11.336985427015607 43.75172987612382,
7,1552590157_A01172,4.0041042368470086e-05 -0.00315420076651891 0.09211373125130087 -1.2419398193356765 7.684963101919117 46.86234908465316,
8,1552620154_A01609,,-6.8128437979706665e-06 0.0006439436256034685 -0.020047884298639487 0.2694053864727423 -1.6402950962489604 67.67073860129925
9,1553089387_A01609,,5.5505344686001934e-05 -0.0033882733592785377 0.07998150833446863 -0.9146111035811411 5.069430836284434 52.502927842147365
10,1553102751_A01609,,-8.192204638337005e-05 0.005216213392808003 -0.12875684884904412 1.529214433647235 -8.65224450958451 82.67541930778889
11,1553885926_A01172,,0.00014293695538857427 -0.00880330323861437 0.20628513814180854 -2.2801628426952885 11.817133103282117 41.20213870552728
12,1554082410_A01172,,0.00020632527715153953 -0.012678577011647409 0.2963804329521691 -3.2748446332319694 16.995345590857497 30.646870955572552
13,1554403777_A01172,-7.311773873637003e-05 0.004521922543324507 -0.10859205293265448 1.2656402355574277 -7.133765930948653 79.02991894797285,
14,1554748372_A01609,,-6.180873311802618e-05 0.003766775106191369 -0.08810370426233988 0.983194349306588 -5.206315248994208 74.86299111700303
15,1554840090_A01172,7.275024840464662e-06 -0.0006996187884182041 0.02938650719324326 -0.553505807516352 4.493599371753656 49.77509369619783,
16,1554906953_A01172,-0.00020506187948600912 0.012791996634069552 -0.3066966205608686 3.5301308334286876 -19.527406159541766 106.39551715065424,
17,1555002731_A01172,0.0004271699137119735 -0.02513182347525992 0.5704386981041266 -6.220210995224077 32.52916154193566 -2.50273522852235,
18,1555696275_A01609,,5.720419739593536e-07 -0.00010085230160420178 0.004364348667862481 -0.07122430655615423 0.4121914542671143 62.889025956982735
19,1555736782_A01609,,-0.00010124327631854735 0.006456194647112538 -0.15903018452558207 1.891936849207533 -10.847291884561942 87.34791545345765
20,1555987268_A01609,,-0.00016037974127004737 0.009906034412112718 -0.23053363418490921 2.495098220211158 -12.509637982757251 87.53861478237754
21,1556028453_A01609,,-8.739766356685141e-06 0.0004898923508036678 -0.011295737417093247 0.1349056883269622 -0.7970471379044848 64.92901856959794
22,1556039041_A01609,,-2.577029353188646e-05 0.002279073034481249 -0.07124959703258331 0.9956901066448907 -6.1236424773938065 76.8123712226571
23,1556115527_A01172,2.456779343731735e-05 -0.0019000245931257767 0.05528637496020445 -0.7460190113854693 4.535909552792877 52.651071691385255,
24,1556125697_A01609,,6.045771256548158e-05 -0.004517069844069637 0.1309183995557291 -1.8102852373042795 11.678105601278524 36.45580981766632
25,1556219881_A01609,,2.2297415195033448e-05 -0.0014486600638772733 0.03589628128433878 -0.41940487853032066 2.2760453532532083 58.47351581205615
26,1556301731_A01609,,2.5341365492744285e-05 -0.00142886794529333 0.03205240075630025 -0.37334897450558696 2.317898523829791 57.430442941309366
27,1556909851_A01172,-0.0007046517307218268 0.03798225220783641 -0.7853794950349213 7.6986909835308985 -35.19986570992098 123.36015901866085,
28,1557323445_A01609,,2.7153533091401208e-05 -0.001626848940298886 0.03681118953910054 -0.38932665686154827 1.9246198196717328 59.38326240892882
29,1557417534_A01172,,-2.6568761842945992e-05 0.001560584876644722 -0.03430503157713846 0.3485890904398393 -1.6196400549613896 67.13741582855181
30,1557757425_A01609,,-2.2463883305425937e-06 0.00024436882931771125 -0.008758651192444067 0.13998458948578893 -1.0150408331708096 65.6843014800066
31,1557760240_A01609,,-0.00015814331123553536 0.009822814127322946 -0.23551049554572942 2.7234429922833363 -15.17740392349227 95.57258889198832
32,1557763139_A01609,,0.00011994039146373883 -0.007520759786689952 0.18215678096042792 -2.118863111647924 11.76427629439653 38.563400876622296
33,1557928726_A01609,,1.1769699079084025e-05 -0.0005321997714981218 0.007242403068096608 -0.014478905556848987 -0.22345941511188294 64.13941518561217
