,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-3.877954784031654e-07 2.5742372191138622e-05 -0.000663392208373029 0.008256346691525362 -0.049355202752588305 0.1127350740356943,
1,1547700355_A01172,3.6926293415699228e-06 -0.0002754608172043543 0.007817452093891135 -0.10535775386853044 0.672484854534168 -1.6207624313097304,
2,1547782407_A01172,8.016267570779978e-06 -0.0005520146310551454 0.0146567993211039 -0.18681085753326548 1.1379649849194424 -2.6387851202034565,
3,1547880148_A01172,5.91563435253847e-05 -0.003459984350787305 0.077578307077438 -0.8298092026128382 4.217125374450927 -8.120779233279356,
4,1547954828_A01172,1.6979951169678517e-05 -0.0010997731230799996 0.027632811465194165 -0.3354019239305271 1.9583462265926501 -4.380553231594332,
5,1548038666_A01172,,1.2978080053097689e-05 -0.0008496439338017609 0.021540972563096672 -0.2632712534357216 1.5441942550830896 -3.4616525578734976
6,1552402053_A01172,-1.0715496071648826e-05 0.0006300150556955679 -0.014194994910537136 0.1524551578557877 -0.7768669631210338 1.4972352543503353,
7,1552590157_A01172,-4.888561839873911e-05 0.0030730356192208135 -0.07490069778234185 0.8815803047552419 -4.99131400048564 10.834076397386637,
8,1552620154_A01609,,-3.817473897484027e-05 0.0026114528336711362 -0.06901314557379264 0.8768118749715735 -5.329739749027662 12.340125673795296
9,1553089387_A01609,,1.5178324654247547e-06 -2.801609826225608e-05 -0.0009253085540392793 0.028717407015773615 -0.25430040995925074 0.7317807092343043
10,1553102751_A01609,,1.6045523665055397e-05 -0.0009666387156405181 0.02244601912810928 -0.250267475408144 1.335832127341695 -2.7249918173385788
11,1553885926_A01172,,3.673123076176084e-05 -0.0023315191882340653 0.05736515276029627 -0.6816169073633993 3.8979683393718365 -8.555087308971734
12,1554082410_A01172,,-4.946591363965466e-07 2.685682199311926e-05 -0.0005458708353215974 0.005097187668220398 -0.021199964182730863 0.029474268588062163
13,1554403777_A01172,-1.101112275812436e-05 0.0014571915764696227 -0.05512289395104353 0.8873532328514269 -6.389785882435142 16.784278781772368,
14,1554748372_A01609,,4.798207006673264e-06 -0.00028669015037931255 0.006592327344414013 -0.07265433732216926 0.3825193420129384 -0.767893841056353
15,1554840090_A01172,0.00029567867008216793 -0.017424665840670206 0.39408463682254175 -4.257172449951049 21.881048714913014 -42.69525960680626,
16,1554906953_A01172,4.4199546182393693e-05 -0.002856720925059095 0.0715093766597333 -0.8631423841640142 5.0024830889259535 -11.090611975801595,
17,1555002731_A01172,-3.911380045727925e-06 0.00021073703105506077 -0.004363578872690564 0.043247974349944186 -0.20452201397308123 0.36844872994035327,
18,1555696275_A01609,,6.747363598667857e-06 -0.0004193156516621885 0.010148792548873043 -0.11922293905121031 0.6772550785980791 -1.4817503661188736
19,1555736782_A01609,,-3.94365678030153e-06 0.0002496601868646437 -0.006122931344992352 0.07245823431561295 -0.4121990304355027 0.898524416848262
20,1555987268_A01609,,-2.7177392716966576e-06 0.000150065517112878 -0.0031181339185092955 0.029974960240967206 -0.12950233858248045 0.18868312532916715
21,1556028453_A01609,,-6.876166285371255e-05 0.004459105635085342 -0.11199652470657416 1.356408122322629 -7.88795866794396 17.54768269095141
22,1556039041_A01609,,2.2879272397099586e-05 -0.0013862051984318746 0.03237356922867584 -0.36294895123702675 1.9468233401719626 -3.9866734877292034
23,1556115527_A01172,-3.749658048486062e-07 1.0958147235226463e-05 5.7956960143627424e-05 -0.004652725619836255 0.04909997528454932 -0.1549739809276896,
24,1556125697_A01609,,1.8802282974352216e-05 -0.0012210706062572303 0.030698731035019147 -0.37198486964004285 2.1633402988634813 -4.811036571878961
25,1556219881_A01609,,0.00014452014089764918 -0.008537753966614553 0.19368779479132547 -2.100376542083363 10.846750099180895 -21.285948414057035
26,1556301731_A01609,,-1.0334753316643834e-05 0.0006833255522862572 -0.017500340136278887 0.21608242001187367 -1.2803334719561372 2.89863115974622
27,1556909851_A01172,3.021616418235495e-05 -0.0016877032755970487 0.03663593655196791 -0.38542235301804306 1.9604407337199452 -3.848728922443851,
28,1557323445_A01609,,-2.155335124331021e-05 0.0013808053125331393 -0.03427802735765201 0.410597555483107 -2.36353463615527 5.209605298037152
29,1557417534_A01172,,-0.00044881237053819316 0.029579348822779006 -0.7547302950385807 9.280450236071488 -54.74964764208591 123.42743601574756
30,1557757425_A01609,,-7.910962932964598e-06 0.0004537193848476322 -0.00991599771236941 0.10251302481314328 -0.4975931576218435 0.9003220801136027
31,1557760240_A01609,,0.00011087021075263899 -0.006877351806174894 0.16490348903732044 -1.9040795986216013 10.55326967785916 -22.400514263458803
32,1557763139_A01609,,-0.0013706016844559537 0.08098053306736379 -1.8373935764368705 19.92795290276741 -102.92800042023268 202.02400828410518
33,1557928726_A01609,,-8.33738217231368e-05 0.005489819909098278 -0.13993831613838686 1.7189870719508236 -10.130933429446166 22.817743127822602
34,1557952047_A01172,-0.00020219894445973826 0.009636332120033246 -0.18012715898570822 1.6484738599516253 -7.376415591761205 12.896423505889327,
35,1557957375_A01609,,5.208557141311848e-05 -0.0031895055351317905 0.07544980716078484 -0.8588958703324096 4.689791485597704 -9.799946281678885
36,1559137815_A01609,,2.4349668380495024e-05 -0.001594806633691989 0.04045793682519008 -0.49494245478819804 2.9074559734505536 -6.533534962386914
37,1559309040_A01609,,1.0657856516718495e-05 -0.0006777309166828891 0.01669748250675841 -0.19853701797410264 1.135203229372038 -2.4887762162426577
38,1559311950_A01609,,3.073748422411961e-05 -0.001884016552447655 0.044603990447342895 -0.508122125204167 2.776343509907134 -5.80554961670916
39,1560885907_A01609,3.229290144425087e-05 -0.0025750683297178978 0.0766392638946428 -1.0698242457245704 7.0126644160158005 -17.255028674333662,
40,1561053811_A01609,-1.923893360027158e-06 0.00014457660606619419 -0.00412828140345584 0.05596428429030794 -0.35947555512081436 0.8728881580137922,
41,1561428256_A01609,,1.5902487972921965e-05 -0.000894267138146451 0.019030571972767845 -0.1895734775350824 0.8725173600051747 -1.459665361536224
42,1561948526_A01609,1.1065855594878878e-05 -0.0007931752484565651 0.021774080511438 -0.2851963854991876 1.7751046934640473 -4.183093714263574,
43,1562035686_A01609,-1.4919733367489744e-05 0.0008837645120432711 -0.020116018768001637 0.21904046201906704 -1.1368651817611068 2.2444249322251646,
44,1562704125_A01609,,8.01911565709007e-06 -0.0005355318842107186 0.013813490059122767 -0.1713097353441838 1.0172592031852277 -2.3051462679670607
