,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-1.4162758413160979e-05 0.002194502837673947 -0.14117121348100203 4.825978791696328 -92.46035637663287 941.1803383834521 -3941.347083134915,
1,1547700355_A01172,1.1431036725035064e-05 -0.0017265971660405095 0.10791975296398741 -3.5735793701797176 66.12921183880817 -648.4629281739517 2668.412560919546,
2,1547782407_A01172,-3.077480469505464e-05 0.004551803324205284 -0.2793284083175827 9.103003199207025 -166.14420114453262 1610.1490321971353 -6440.020130147661,
3,1547880148_A01172,-0.0003715706778350179 0.05367105979217475 -3.2178615721474944 102.50936642080212 -1830.1238922462633 17362.86874643052 -68357.20426135295,
4,1547954828_A01172,2.5762813647096073e-06 -0.00041935965567237784 0.028139135244102158 -0.9962636235473669 19.629929039385306 -204.09773344808085 910.8694218008882,
5,1548038666_A01172,,1.4646785509431427e-07 -2.9309415393878932e-05 0.002348473496632538 -0.09706894398192381 2.193146447061665 -25.77488681425069 153.71009330634834
6,1552402053_A01172,6.72180495307395e-09 -1.5219067592533626e-06 0.0001369647318769598 -0.006233675504389561 0.15089491169172636 -1.8361242431988307 43.25714254281396,
7,1552590157_A01172,,
8,1552620154_A01609,,-1.9407710498358252e-07 4.063535401624909e-05 -0.0034878422396199555 0.15709702729216843 -3.9160775373361907 51.177192213570976 -239.38259618973822
9,1553089387_A01609,,2.7696765796514848e-09 -1.0395867092490496e-06 0.00014645078063187613 -0.01016646320856292 0.37047992385168965 -6.744709398982851 81.31503290398729
10,1553102751_A01609,,2.7038290123220513e-06 -0.00044402677096588286 0.030066068059738344 -1.073957264151761 21.332239878411887 -223.25311469587672 994.2569729684114
11,1553885926_A01172,,0.00010364270968112914 -0.015474318422897242 0.9578546922888584 -31.458642703957445 578.0845128331414 -5634.782528259365 22792.544895439783
12,1554082410_A01172,,6.711812230101895e-07 -0.00011992600700798153 0.008830215006706948 -0.3430658085020655 7.417526727573346 -84.5741840184455 432.2449361907106
13,1554403777_A01172,-8.406704762864532e-10 2.658654839618021e-07 -3.2703447633471036e-05 0.0020049770501095916 -0.06539451018435465 1.0919615092939388 27.69919039087309,
14,1554748372_A01609,,0.0019299417020326056 -0.26409569067804084 15.039556980769436 -456.22669835246455 7775.469025342104 -70591.44887510299 266750.1382356054
15,1554840090_A01172,1.2054532524011937e-08 -3.2894217424893137e-06 0.0003545020380005104 -0.01941698454008733 0.5724758270813791 -8.660126830365803 88.15595012141922,
16,1554906953_A01172,9.579469802935721e-05 -0.014638189366026191 0.9260825811624831 -31.056409268861742 582.38030309609 -5791.153597558931 23893.66915560438,
17,1555002731_A01172,,
18,1555696275_A01609,,8.163134692035119e-07 -0.00013045782129775306 0.008472153991332018 -0.2856432905146175 5.255734696893844 -49.630197175348854 219.30621149696634
19,1555736782_A01609,,8.486632210574236e-07 -0.00014983187360164676 0.010926504149721955 -0.42095221078157447 9.027911262473767 -102.07146727805842 509.9421062687112
20,1555987268_A01609,,-4.3915125934254597e-07 8.471495472196135e-05 -0.006672466648428997 0.2753970390295332 -6.297300291506222 75.78477676608254 -344.8837251267534
21,1556028453_A01609,,3.89423145189641e-06 -0.0005838617814013102 0.03623156022808079 -1.1912131054227075 21.88766422829716 -213.13697359595278 894.615684687295
22,1556039041_A01609,,8.539871788049249e-06 -0.0014611323015217554 0.10333871464295845 -3.866134010747852 80.67132344210854 -889.8436879123738 4087.6958944842067
23,1556115527_A01172,1.4384428808059974e-06 -0.00023681729735217972 0.016043085838335053 -0.5724326286236081 11.350985187081184 -118.70982786545545 547.5444442814235,
24,1556125697_A01609,,-6.2722746160716915e-06 0.0010710955661044684 -0.07572513862246376 2.835749912525151 -59.29210188864118 655.8629241321007 -2962.7241285800596
25,1556219881_A01609,,-0.00022597605737755086 0.030610885235989732 -1.724101217643846 51.68638886276893 -869.9548961944658 7795.972523904136 -29029.270178651885
26,1556301731_A01609,,1.6386120271790585e-06 -0.0002934295860741816 0.02166221814980953 -0.8438526357990168 18.29328668064978 -209.22825927679304 1019.9590994296572
27,1556909851_A01172,,
28,1557323445_A01609,,7.78113759325908 -959.8282146107802 49327.74057676546 -1351904.7243033277 20839235.74871033 -171306729.2235976 586697103.5117537
29,1557417534_A01172,,-0.0002666012712334658 0.037568134995780565 -2.2031975737048635 68.81361328674686 -1207.05572496059 11272.672613278828 -43751.837739633236
30,1557757425_A01609,,1.556005512811111e-07 -3.134580621365272e-05 0.0025738427973277644 -0.11005433094016007 2.5786969336656567 -31.305074147489652 187.91511718374878
31,1557760240_A01609,,-1.662711574691163e-06 0.0003162687779719127 -0.024591168962120696 0.9998024546301958 -22.40968057252621 262.521973958571 -1222.4725779327664
32,1557763139_A01609,,-4.69806900035297e-06 0.0010745491081697374 -0.09134362718762493 3.8683899291875297 -87.91929078499429 1028.4680871449739 -4840.808778706559
33,1557928726_A01609,,4.727544152676364e-08 -1.1489031657102437e-05 0.0011389272926778204 -0.058935789693676625 1.6803032354723277 -25.064438128477533 186.9953394950055
34,1557952047_A01172,,
35,1557957375_A01609,,4.286052422520846e-07 -8.41644730994873e-05 0.006761298246042973 -0.28420591097393016 6.5872856185748425 -79.7581641636588 429.0942198576818
36,1559137815_A01609,,4.4286186914059455e-08 -7.019544267846937e-06 0.00044108364829513995 -0.01381578590110363 0.2190629807360245 -1.4893221311575002 36.70369279820398
37,1559309040_A01609,,5.819360167046426e-06 -0.0009932896878766132 0.07004145718750547 -2.6110689702276018 54.26344964830901 -596.0042695224276 2734.5143413063747
38,1559311950_A01609,,-0.00024947692353182615 0.033538543175153694 -1.8733637041425453 55.645841002440534 -926.9545330593342 8209.84577884223 -30165.902936278668
39,1560885907_A01609,-4.4615164069314855e-06 0.0007173199503415871 -0.047368884516115706 1.6421845411273428 -31.472268654335945 315.57866919370946 -1258.084085517401,
40,1561053811_A01609,-0.0002874142720714504 0.041354116796765567 -2.473575188706685 78.72533266649441 -1406.008447902842 13359.808077183461 -52726.38962636832,
41,1561428256_A01609,,-2.953534626623038e-07 5.521831078781928e-05 -0.0042556030734751974 0.1729460720589313 -3.9059391889695356 46.456854526127 -193.94729551192523
42,1561948526_A01609,8.814572674632663e-11 -2.938497582755043e-08 2.9048328085390184e-06 -4.7791980465546477e-05 -0.005559008997105333 0.2534374109308901 29.4343453219853,
43,1562035686_A01609,-2.598697653171539e-09 8.015238103674409e-07 -9.905357135315499e-05 0.006243782435261773 -0.21094062411289827 3.6453767380964064 7.808803130323692,
44,1562704125_A01609,,-5.110056164153932e-06 0.0008166277548288218 -0.05393768723551514 1.8846432941087443 -36.74085582224395 378.9093256183996 -1581.0453388818587
