,recordName,mean
0,1547274726_A01172,-0.0015
1,1547700355_A01172,0.0005
2,1547782407_A01172,-0.0041
3,1547880148_A01172,-0.0036
4,1547954828_A01172,0.0063
5,1548038666_A01172,-0.0002
6,1552402053_A01172,0.0031
7,1552590157_A01172,-0.0013
8,1552620154_A01609,0.01
9,1553089387_A01609,-0.0328
10,1553102751_A01609,-0.0013
11,1553885926_A01172,0.021
12,1554082410_A01172,-0.0032
13,1554403777_A01172,0.002
14,1554748372_A01609,0.0
15,1554840090_A01172,-0.0088
16,1554906953_A01172,-0.0017
17,1555002731_A01172,-0.0011
18,1555696275_A01609,-0.0049
19,1555736782_A01609,-0.0002
20,1555987268_A01609,0.0031
21,1556028453_A01609,-0.0081
22,1556039041_A01609,-0.0148
23,1556115527_A01172,-0.0022
24,1556125697_A01609,-0.0013
25,1556219881_A01609,-0.0134
26,1556301731_A01609,0.0028
27,1556909851_A01172,-0.0018
28,1557323445_A01609,-0.004
29,1557417534_A01172,-0.0374
30,1557757425_A01609,0.0028
31,1557760240_A01609,-0.0066
32,1557763139_A01609,-0.0514
33,1557928726_A01609,-0.0094
34,1557952047_A01172,-0.03
35,1557957375_A01609,-0.0005
36,1559137815_A01609,-0.0017
37,1559309040_A01609,-0.0022
38,1559311950_A01609,-0.0018
39,1560885907_A01609,0.0006
40,1561053811_A01609,0.0038
41,1561428256_A01609,0.0015
42,1561948526_A01609,-0.0024
43,1562035686_A01609,-0.0009
44,1562704125_A01609,0.0
