,recordName,mean
0,1547274726_A01172,0.4298
1,1547700355_A01172,0.0862
2,1547782407_A01172,0.3458
3,1547880148_A01172,0.0643
4,1547954828_A01172,0.1162
5,1548038666_A01172,0.1248
6,1552402053_A01172,0.4017
7,1552590157_A01172,0.1899
8,1552620154_A01609,0.2251
9,1553089387_A01609,0.1005
10,1553102751_A01609,0.0748
11,1553885926_A01172,0.0718
12,1554082410_A01172,0.1508
13,1554403777_A01172,0.4024
14,1554748372_A01609,1.3158
15,1554840090_A01172,0.0548
16,1554906953_A01172,0.297
17,1555002731_A01172,0.2023
18,1555696275_A01609,0.0591
19,1555736782_A01609,0.1514
20,1555987268_A01609,0.079
21,1556028453_A01609,0.319
22,1556039041_A01609,0.1425
23,1556115527_A01172,0.2424
24,1556125697_A01609,0.1509
25,1556219881_A01609,0.0777
26,1556301731_A01609,0.1378
27,1556909851_A01172,0.0526
28,1557323445_A01609,0.0966
29,1557417534_A01172,0.0316
30,1557757425_A01609,0.1201
31,1557760240_A01609,0.0963
32,1557763139_A01609,0.0833
33,1557928726_A01609,0.0629
34,1557952047_A01172,0.1378
35,1557957375_A01609,0.1441
36,1559137815_A01609,2.5405
37,1559309040_A01609,1.0662
38,1559311950_A01609,0.1164
39,1560885907_A01609,0.0963
40,1561053811_A01609,0.1176
41,1561428256_A01609,0.1165
42,1561948526_A01609,0.1856
43,1562035686_A01609,0.1042
44,1562704125_A01609,2.1494
