,recordName,mean
0,1547274726_A01172,34.2852
1,1547700355_A01172,35.7644
2,1547782407_A01172,32.8386
3,1547880148_A01172,33.8321
4,1547954828_A01172,35.7042
5,1548038666_A01172,30.0167
6,1552402053_A01172,34.5496
7,1552590157_A01172,36.9757
8,1552620154_A01609,33.832
9,1553089387_A01609,33.1737
10,1553102751_A01609,32.7996
11,1553885926_A01172,33.8682
12,1554082410_A01172,35.1854
13,1554403777_A01172,34.69
14,1554748372_A01609,33.6679
15,1554840090_A01172,35.3084
16,1554906953_A01172,33.8052
17,1555002731_A01172,35.6118
18,1555696275_A01609,34.0287
19,1555736782_A01609,35.0171
20,1555987268_A01609,30.184
21,1556028453_A01609,34.8238
22,1556039041_A01609,35.1747
23,1556115527_A01172,35.2245
24,1556125697_A01609,33.5061
25,1556219881_A01609,35.3545
26,1556301731_A01609,33.7451
27,1556909851_A01172,32.1512
28,1557323445_A01609,34.3691
29,1557417534_A01172,31.6504
30,1557757425_A01609,34.1938
31,1557760240_A01609,33.3538
32,1557763139_A01609,30.419
33,1557928726_A01609,33.8097
34,1557952047_A01172,33.9298
35,1557957375_A01609,34.9642
36,1559137815_A01609,34.8678
37,1559309040_A01609,31.7108
38,1559311950_A01609,34.0739
39,1560885907_A01609,32.4804
40,1561053811_A01609,35.3287
41,1561428256_A01609,33.1721
42,1561948526_A01609,32.5598
43,1562035686_A01609,33.2907
44,1562704125_A01609,34.0571
