,recordName,mean
0,1547274726_A01172,65.7384
1,1547700355_A01172,62.79
2,1547782407_A01172,63.3147
3,1547880148_A01172,63.3929
4,1547954828_A01172,64.39
5,1548038666_A01172,63.6511
6,1552402053_A01172,63.9847
7,1552590157_A01172,
8,1552620154_A01609,63.21
9,1553089387_A01609,63.5003
10,1553102751_A01609,64.3781
11,1553885926_A01172,64.7729
12,1554082410_A01172,63.2034
13,1554403777_A01172,63.4385
14,1554748372_A01609,64.1689
15,1554840090_A01172,62.942
16,1554906953_A01172,66.126
17,1555002731_A01172,
18,1555696275_A01609,63.1043
19,1555736782_A01609,63.9315
20,1555987268_A01609,63.4459
21,1556028453_A01609,63.3813
22,1556039041_A01609,63.9011
23,1556115527_A01172,62.8123
24,1556125697_A01609,64.3552
25,1556219881_A01609,63.1207
26,1556301731_A01609,63.3947
27,1556909851_A01172,
28,1557323445_A01609,63.1385
29,1557417534_A01172,64.7873
30,1557757425_A01609,63.118
31,1557760240_A01609,63.2491
32,1557763139_A01609,63.2677
33,1557928726_A01609,64.1153
34,1557952047_A01172,
35,1557957375_A01609,65.0063
36,1559137815_A01609,63.3663
37,1559309040_A01609,64.3134
38,1559311950_A01609,64.5155
39,1560885907_A01609,63.7013
40,1561053811_A01609,62.0492
41,1561428256_A01609,63.3309
42,1561948526_A01609,63.8364
43,1562035686_A01609,63.3261
44,1562704125_A01609,64.3833
