,recordName,mean
0,1547274726_A01172,0.001
1,1547700355_A01172,0.004
2,1547782407_A01172,-0.006
3,1547880148_A01172,-0.0461
4,1547954828_A01172,0.0002
5,1548038666_A01172,0.0001
6,1552402053_A01172,0.0062
7,1552590157_A01172,
8,1552620154_A01609,0.0109
9,1553089387_A01609,-0.0222
10,1553102751_A01609,-0.0075
11,1553885926_A01172,-0.0136
12,1554082410_A01172,-0.0054
13,1554403777_A01172,-0.0063
14,1554748372_A01609,-0.0036
15,1554840090_A01172,-0.0497
16,1554906953_A01172,-0.0028
17,1555002731_A01172,
18,1555696275_A01609,-0.0009
19,1555736782_A01609,0.0011
20,1555987268_A01609,0.0081
21,1556028453_A01609,-0.0093
22,1556039041_A01609,0.002
23,1556115527_A01172,-0.0006
24,1556125697_A01609,-0.0006
25,1556219881_A01609,-0.1114
26,1556301731_A01609,0.0056
27,1556909851_A01172,
28,1557323445_A01609,-0.1027
29,1557417534_A01172,0.0291
30,1557757425_A01609,0.0006
31,1557760240_A01609,-0.0149
32,1557763139_A01609,0.4289
33,1557928726_A01609,-0.0019
34,1557952047_A01172,
35,1557957375_A01609,-0.0056
36,1559137815_A01609,-0.0009
37,1559309040_A01609,-0.0049
38,1559311950_A01609,-0.0224
39,1560885907_A01609,0.0169
40,1561053811_A01609,0.0148
41,1561428256_A01609,-0.0046
42,1561948526_A01609,-0.0001
43,1562035686_A01609,0.001
44,1562704125_A01609,0.0004
