,recordName,mean
0,1547274726_A01172,1.0085
1,1547700355_A01172,0.0988
2,1547782407_A01172,0.5021
3,1547880148_A01172,0.0759
4,1547954828_A01172,0.1197
5,1548038666_A01172,0.1342
6,1552402053_A01172,0.4807
7,1552590157_A01172,
8,1552620154_A01609,0.2778
9,1553089387_A01609,0.1045
10,1553102751_A01609,0.0783
11,1553885926_A01172,0.083
12,1554082410_A01172,0.1654
13,1554403777_A01172,0.4945
14,1554748372_A01609,2.3857
15,1554840090_A01172,0.0534
16,1554906953_A01172,0.44
17,1555002731_A01172,
18,1555696275_A01609,0.0654
19,1555736782_A01609,0.1789
20,1555987268_A01609,0.0985
21,1556028453_A01609,0.4806
22,1556039041_A01609,0.1247
23,1556115527_A01172,0.2718
24,1556125697_A01609,0.1497
25,1556219881_A01609,0.0843
26,1556301731_A01609,0.1526
27,1556909851_A01172,
28,1557323445_A01609,0.1031
29,1557417534_A01172,0.0334
30,1557757425_A01609,0.1308
31,1557760240_A01609,0.0502
32,1557763139_A01609,0.0699
33,1557928726_A01609,0.0473
34,1557952047_A01172,
35,1557957375_A01609,0.1523
36,1559137815_A01609,1.8908
37,1559309040_A01609,1.8957
38,1559311950_A01609,0.1355
39,1560885907_A01609,0.0912
40,1561053811_A01609,0.1196
41,1561428256_A01609,0.1184
42,1561948526_A01609,0.1826
43,1562035686_A01609,0.1102
44,1562704125_A01609,2.5952
