,recordName,mean
0,1547274726_A01172,79.46
1,1547700355_A01172,77.8001
2,1547782407_A01172,87.3214
3,1547880148_A01172,97.6676
4,1547954828_A01172,99.1516
5,1548038666_A01172,89.3849
6,1552402053_A01172,88.3788
7,1552590157_A01172,
8,1552620154_A01609,71.4367
9,1553089387_A01609,76.8343
10,1553102751_A01609,76.9667
11,1553885926_A01172,83.7331
12,1554082410_A01172,73.6816
13,1554403777_A01172,82.2931
14,1554748372_A01609,84.7819
15,1554840090_A01172,82.6164
16,1554906953_A01172,91.9964
17,1555002731_A01172,
18,1555696275_A01609,101.6709
19,1555736782_A01609,88.9439
20,1555987268_A01609,84.358
21,1556028453_A01609,75.7724
22,1556039041_A01609,83.95
23,1556115527_A01172,88.9119
24,1556125697_A01609,80.1826
25,1556219881_A01609,68.7691
26,1556301731_A01609,71.5633
27,1556909851_A01172,
28,1557323445_A01609,92.3237
29,1557417534_A01172,68.9281
30,1557757425_A01609,126.482
31,1557760240_A01609,82.5576
32,1557763139_A01609,99.5055
33,1557928726_A01609,68.2362
34,1557952047_A01172,
35,1557957375_A01609,88.135
36,1559137815_A01609,86.3056
37,1559309040_A01609,83.962
38,1559311950_A01609,58.4056
39,1560885907_A01609,93.0008
40,1561053811_A01609,101.0429
41,1561428256_A01609,75.1632
42,1561948526_A01609,90.6581
43,1562035686_A01609,92.2012
44,1562704125_A01609,82.0978
