,recordName,mean
0,1547274726_A01172,-0.0118
1,1547700355_A01172,0.0042
2,1547782407_A01172,-0.0022
3,1547880148_A01172,-0.0019
4,1547954828_A01172,0.0527
5,1548038666_A01172,0.0058
6,1552402053_A01172,0.002
7,1552590157_A01172,-0.0207
8,1552620154_A01609,-0.0221
9,1553089387_A01609,-0.2267
10,1553102751_A01609,0.0057
11,1553885926_A01172,0.1664
12,1554082410_A01172,-0.0014
13,1554403777_A01172,-0.06
14,1554748372_A01609,0.0001
15,1554840090_A01172,-0.0037
16,1554906953_A01172,0.016
17,1555002731_A01172,-0.0023
18,1555696275_A01609,-0.044
19,1555736782_A01609,-0.006
20,1555987268_A01609,0.0013
21,1556028453_A01609,-0.0718
22,1556039041_A01609,-0.1286
23,1556115527_A01172,-0.0113
24,1556125697_A01609,0.006
25,1556219881_A01609,-0.038
26,1556301731_A01609,-0.0069
27,1556909851_A01172,-0.0028
28,1557323445_A01609,0.0018
29,1557417534_A01172,-0.5703
30,1557757425_A01609,0.0336
31,1557760240_A01609,0.0198
32,1557763139_A01609,-0.2482
33,1557928726_A01609,-0.1654
34,1557952047_A01172,-0.085
35,1557957375_A01609,0.0024
36,1559137815_A01609,0.0112
37,1559309040_A01609,0.0051
38,1559311950_A01609,0.0095
39,1560885907_A01609,0.0915
40,1561053811_A01609,-0.0068
41,1561428256_A01609,0.0058
42,1561948526_A01609,-0.0071
43,1562035686_A01609,-0.0104
44,1562704125_A01609,0.0063
