,recordName,mean
0,1547274726_A01172,64.0749
1,1547700355_A01172,62.802
2,1547782407_A01172,64.2588
3,1547880148_A01172,63.1675
4,1547954828_A01172,63.6052
5,1548038666_A01172,63.3523
6,1552402053_A01172,64.5352
7,1552590157_A01172,64.2824
8,1552620154_A01609,63.6654
9,1553089387_A01609,63.3004
10,1553102751_A01609,64.2241
11,1553885926_A01172,64.2111
12,1554082410_A01172,63.5114
13,1554403777_A01172,63.6621
14,1554748372_A01609,64.4342
15,1554840090_A01172,62.4903
16,1554906953_A01172,64.8856
17,1555002731_A01172,62.909
18,1555696275_A01609,63.2778
19,1555736782_A01609,63.6395
20,1555987268_A01609,63.6801
21,1556028453_A01609,63.2384
22,1556039041_A01609,64.0803
23,1556115527_A01172,62.1287
24,1556125697_A01609,63.8258
25,1556219881_A01609,62.9807
26,1556301731_A01609,63.3179
27,1556909851_A01172,64.4876
28,1557323445_A01609,63.0486
29,1557417534_A01172,64.4035
30,1557757425_A01609,63.0476
31,1557760240_A01609,63.1503
32,1557763139_A01609,63.3675
33,1557928726_A01609,63.7325
34,1557952047_A01172,63.4192
35,1557957375_A01609,64.5873
36,1559137815_A01609,63.0843
37,1559309040_A01609,64.0849
38,1559311950_A01609,64.4648
39,1560885907_A01609,63.0438
40,1561053811_A01609,63.0464
41,1561428256_A01609,63.1406
42,1561948526_A01609,64.4273
43,1562035686_A01609,64.8673
44,1562704125_A01609,64.1013
