,recordName,mean
0,1547274726_A01172,77.7471
1,1547700355_A01172,75.7389
2,1547782407_A01172,91.407
3,1547880148_A01172,78.6938
4,1547954828_A01172,86.0796
5,1548038666_A01172,81.9306
6,1552402053_A01172,94.6289
7,1552590157_A01172,72.2159
8,1552620154_A01609,68.386
9,1553089387_A01609,79.9108
10,1553102751_A01609,78.5412
11,1553885926_A01172,83.1878
12,1554082410_A01172,75.5733
13,1554403777_A01172,69.4733
14,1554748372_A01609,97.3454
15,1554840090_A01172,82.979
16,1554906953_A01172,87.0251
17,1555002731_A01172,84.9501
18,1555696275_A01609,91.0776
19,1555736782_A01609,85.8679
20,1555987268_A01609,85.6988
21,1556028453_A01609,71.5425
22,1556039041_A01609,82.4546
23,1556115527_A01172,87.2051
24,1556125697_A01609,81.0072
25,1556219881_A01609,86.2533
26,1556301731_A01609,66.8942
27,1556909851_A01172,92.6361
28,1557323445_A01609,90.2985
29,1557417534_A01172,73.9072
30,1557757425_A01609,119.455
31,1557760240_A01609,70.0945
32,1557763139_A01609,84.4784
33,1557928726_A01609,66.0347
34,1557952047_A01172,88.3534
35,1557957375_A01609,85.5632
36,1559137815_A01609,85.5699
37,1559309040_A01609,82.346
38,1559311950_A01609,58.5922
39,1560885907_A01609,76.0833
40,1561053811_A01609,99.3747
41,1561428256_A01609,74.7352
42,1561948526_A01609,81.8723
43,1562035686_A01609,92.2705
44,1562704125_A01609,81.7109
